ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3850396,HL220295,03/06/2005 06:00:00 PM,072XX S EMERALD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,False,False,732,7.0,17.0,68.0,14,1172599.0,1856776.0,2005,02/28/2018 03:56:25 PM,41.762429559,-87.642960579,"(41.762429559, -87.642960579)"
2146042,HH392312,04/17/2002 12:00:00 PM,006XX N MICHIGAN AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,BANK,False,False,1834,18.0,42.0,8.0,11,1177327.0,1904330.0,2002,02/28/2018 03:56:25 PM,41.892816145,-87.624193198,"(41.892816145, -87.624193198)"
8194642,HT428740,08/02/2011 08:05:00 PM,020XX W GARFIELD BLVD,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,False,False,715,7.0,15.0,67.0,14,1163517.0,1868039.0,2011,02/10/2018 03:50:01 PM,41.793531935,-87.675931917,"(41.793531935, -87.675931917)"
1880130,G719317,11/30/2001 06:03:43 PM,042XX W DIVISION ST,0560,ASSAULT,SIMPLE,OTHER,False,False,1111,11.0,,,08A,1148045.0,1907625.0,2001,08/17/2015 03:03:40 PM,41.90247172,-87.731650075,"(41.90247172, -87.731650075)"
2428043,HH731810,10/22/2002 09:00:00 PM,089XX S ASHLAND AVE,2027,NARCOTICS,POSS: CRACK,STREET,True,False,2221,22.0,21.0,73.0,18,1167241.0,1845307.0,2002,02/10/2018 03:50:01 PM,41.731073326,-87.662925938,"(41.731073326, -87.662925938)"
6613606,HP685420,11/15/2008 07:40:36 PM,052XX W MADISON ST,2024,NARCOTICS,POSS: HEROIN(WHITE),DRUG STORE,True,False,1522,15.0,28.0,25.0,18,1141512.0,1899523.0,2008,02/28/2018 03:56:25 PM,41.880362084,-87.755847438,"(41.880362084, -87.755847438)"
8339447,HT573037,04/01/2011 12:00:00 PM,001XX W ADAMS ST,0580,STALKING,SIMPLE,OTHER,False,False,112,1.0,42.0,32.0,08A,1175446.0,1899429.0,2011,02/04/2016 06:33:39 AM,41.879409976,-87.631248562,"(41.879409976, -87.631248562)"
13489340,JH299065,06/08/2024 08:00:00 PM,010XX W DAKIN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1923,19.0,46.0,6.0,07,1168590.0,1926372.0,2024,05/17/2025 03:40:52 PM,41.953494227,-87.655640789,"(41.953494227, -87.655640789)"
3759327,HL129374,12/20/2004 09:00:00 AM,044XX W HUTCHINSON AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE PORCH/HALLWAY,False,False,1722,17.0,38.0,16.0,11,1145666.0,1927672.0,2004,02/28/2018 03:56:25 PM,41.957528038,-87.739878942,"(41.957528038, -87.739878942)"
4406877,HL646225,10/01/2005 04:27:11 AM,025XX W JACKSON BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CHA HALLWAY/STAIRWELL/ELEVATOR,True,False,1125,11.0,2.0,28.0,18,1159609.0,1898614.0,2005,02/28/2018 03:56:25 PM,41.877514327,-87.689421855,"(41.877514327, -87.689421855)"
10663319,HZ413980,08/30/2016 07:16:00 PM,052XX S DREXEL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,233,2.0,5.0,41.0,08B,1183138.0,1870236.0,2016,02/10/2018 03:50:01 PM,41.799126422,-87.603915485,"(41.799126422, -87.603915485)"
12675073,JF213016,04/19/2022 06:19:00 PM,030XX N AVERS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2523,25.0,30.0,21.0,08B,1150569.0,1920097.0,2022,01/03/2023 03:40:27 PM,41.936647065,-87.722052391,"(41.936647065, -87.722052391)"
12451164,JE335189,08/12/2021 09:11:00 AM,079XX S COLFAX AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE - GARAGE,False,False,422,4.0,7.0,46.0,14,1194898.0,1852685.0,2021,08/19/2021 03:49:47 PM,41.750683377,-87.561367339,"(41.750683377, -87.561367339)"
8853944,HV527484,10/20/2012 09:00:00 AM,104XX S CORLISS AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,STREET,False,False,512,5.0,9.0,50.0,26,1183417.0,1836085.0,2012,02/10/2018 03:50:01 PM,41.705406026,-87.603954053,"(41.705406026, -87.603954053)"
5759256,HN564740,09/02/2007 01:30:00 AM,007XX N WELLS ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,BAR OR TAVERN,False,False,1831,18.0,42.0,8.0,04B,1174604.0,1905223.0,2007,02/28/2018 03:56:25 PM,41.895327906,-87.634166881,"(41.895327906, -87.634166881)"
9031947,HW179982,03/05/2013 02:00:00 AM,029XX W ADDISON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1733,17.0,33.0,21.0,07,1155975.0,1923781.0,2013,02/10/2018 03:50:01 PM,41.946648722,-87.702084879,"(41.946648722, -87.702084879)"
7658970,HS462364,08/12/2010 07:00:00 PM,050XX N LOWELL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1712,17.0,39.0,14.0,14,1146469.0,1933144.0,2010,02/10/2018 03:50:01 PM,41.972528324,-87.736786763,"(41.972528324, -87.736786763)"
3010467,HJ670233,10/04/2003 05:25:00 PM,055XX W CONGRESS PKWY,2095,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,STREET,True,False,1522,15.0,29.0,25.0,18,1139749.0,1897140.0,2003,02/28/2018 03:56:25 PM,41.873855191,-87.762379293,"(41.873855191, -87.762379293)"
13928781,JJ367938,08/08/2025 03:00:00 PM,047XX W MAYPOLE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,1113,11.0,28.0,25.0,14,1144781.0,1901043.0,2025,11/02/2025 03:41:09 PM,41.884472158,-87.743805525,"(41.884472158, -87.743805525)"
6383713,HP373993,06/03/2008 11:29:13 PM,031XX W 64TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,823,8.0,15.0,66.0,18,1156674.0,1862027.0,2008,02/10/2018 03:50:01 PM,41.777174999,-87.701186897,"(41.777174999, -87.701186897)"
2406250,HH720040,10/17/2002 12:45:00 PM,046XX W IRVING PARK RD,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,True,False,1722,17.0,45.0,15.0,06,1144295.0,1926174.0,2002,02/28/2018 03:56:25 PM,41.953443342,-87.744957048,"(41.953443342, -87.744957048)"
3566470,HK614247,09/10/2004 10:30:00 AM,013XX S SAWYER AVE,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),SIDEWALK,True,False,1022,10.0,24.0,29.0,18,1154907.0,1893681.0,2004,02/28/2018 03:56:25 PM,41.864073157,-87.706818608,"(41.864073157, -87.706818608)"
8412833,HT646120,12/24/2011 11:45:00 AM,070XX S COTTAGE GROVE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,321,3.0,6.0,42.0,08B,1182773.0,1858454.0,2011,02/04/2016 06:33:39 AM,41.76680404,-87.605619683,"(41.76680404, -87.605619683)"
8376583,HT610020,11/29/2011 12:01:00 PM,046XX N BROADWAY,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA PLATFORM,True,False,2311,19.0,46.0,3.0,11,1167942.0,1930944.0,2011,02/10/2018 03:50:01 PM,41.966053999,-87.657890403,"(41.966053999, -87.657890403)"
3971284,HL334295,05/03/2005 08:00:00 PM,105XX S EMERALD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,2233,22.0,34.0,49.0,14,1173177.0,1834948.0,2005,02/28/2018 03:56:25 PM,41.702517811,-87.641485206,"(41.702517811, -87.641485206)"
2190649,HH440345,06/13/2002 10:40:00 PM,042XX S CALUMET AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,True,False,214,2.0,3.0,38.0,16,1179141.0,1876872.0,2002,02/28/2018 03:56:25 PM,41.817428316,-87.618370844,"(41.817428316, -87.618370844)"
